source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
HPA,HPA:0091022,Cerebellum; processes in granular layer[≥Medium],0.00015866036034456075,True,Cerebellum; processes in granular layer[≥Medium],175,13,5,11007,0.38461538461538464,0.02857142857142857,query_1,['HPA:0091021']
HPA,HPA:0091042,Cerebellum; processes in white matter[≥Medium],0.00016784092655291446,True,Cerebellum; processes in white matter[≥Medium],177,13,5,11007,0.38461538461538464,0.02824858757062147,query_1,['HPA:0091041']
GO:BP,GO:0061684,chaperone-mediated autophagy,0.0002560940794873407,True,"""The autophagy process which begins when chaperones and co-chaperones recognize a target motif and unfold the substrate protein. The proteins are then transported to the lysosome where they are degraded."" [GOC:pad, GOC:PARL, PMID:22743996, PMID:23434281]",13,19,3,20972,0.15789473684210525,0.23076923076923078,query_1,"['GO:0006914', 'GO:0030163']"
HPA,HPA:0091021,Cerebellum; processes in granular layer[≥Low],0.0003302052158722084,True,Cerebellum; processes in granular layer[≥Low],203,13,5,11007,0.38461538461538464,0.024630541871921183,query_1,['HPA:0090000']
HPA,HPA:0091041,Cerebellum; processes in white matter[≥Low],0.00034653893710573076,True,Cerebellum; processes in white matter[≥Low],205,13,5,11007,0.38461538461538464,0.024390243902439025,query_1,['HPA:0090000']
CORUM,CORUM:7265,"MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex",0.0011013262017185255,True,"MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4-syntrophin complex",6,6,2,3383,0.3333333333333333,0.3333333333333333,query_1,['CORUM:0000000']
CORUM,CORUM:7268,"HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex",0.0011013262017185255,True,"HEPACAM-MLC1-Na,K-ATPase-Kir4.1-AQP4-TRPV4 complex",6,6,2,3383,0.3333333333333333,0.3333333333333333,query_1,['CORUM:0000000']
GO:BP,GO:0046907,intracellular transport,0.0015777918835865592,True,"""The directed movement of substances within a cell."" [GOC:ai]",1375,19,9,20972,0.47368421052631576,0.006545454545454545,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']"
GO:MF,GO:0005102,signaling receptor binding,0.002640045781324613,True,"""Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."" [GOC:bf, GOC:ceb, ISBN:0198506732]",1346,18,8,20208,0.4444444444444444,0.005943536404160475,query_1,['GO:0005515']
GO:MF,GO:0140545,ATP-dependent protein disaggregase activity,0.003260707306811213,True,"""An ATP-dependent molecular chaperone activity that mediates the solubilization of ordered protein aggregates."" [PMID:26312418]",6,18,2,20208,0.1111111111111111,0.3333333333333333,query_1,"['GO:0140657', 'GO:0140776']"
GO:BP,GO:0061740,protein targeting to lysosome involved in chaperone-mediated autophagy,0.0033308536526744058,True,"""The targeting of a protein to the lysosome process in which an input protein binds to a chaperone and subsequently to a lysosomal receptor."" [GOC:dph, GOC:pad, GOC:PARL, PMID:22748206]",3,19,2,20972,0.10526315789473684,0.6666666666666666,query_1,"['GO:0006622', 'GO:0061684', 'GO:0071211']"
GO:CC,GO:0000323,lytic vacuole,0.0038672045038492934,True,"""A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases."" [GOC:krc]",787,18,6,22155,0.3333333333333333,0.007623888182973317,query_1,['GO:0005773']
GO:CC,GO:0005764,lysosome,0.0038672045038492934,True,"""A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."" [GOC:mah, ISBN:0198506732]",787,18,6,22155,0.3333333333333333,0.007623888182973317,query_1,['GO:0000323']
GO:CC,GO:0097450,astrocyte end-foot,0.005204441147037283,True,"""Terminal process of astrocyte abutting non-neuronal surfaces in the brain."" [NIF_Subcellular:sao388182739]",11,18,2,22155,0.1111111111111111,0.18181818181818182,query_1,['GO:0097449']
KEGG,KEGG:04978,Mineral absorption,0.006443968982299405,True,Mineral absorption,60,14,3,8716,0.21428571428571427,0.05,query_1,['KEGG:00000']
HPA,HPA:0091032,Cerebellum; processes in molecular layer[≥Medium],0.006988168206600249,True,Cerebellum; processes in molecular layer[≥Medium],185,13,4,11007,0.3076923076923077,0.021621621621621623,query_1,['HPA:0091031']
GO:CC,GO:0005773,vacuole,0.007338666889474589,True,"""A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."" [GOC:mtg_sensu, ISBN:0198506732]",882,18,6,22155,0.3333333333333333,0.006802721088435374,query_1,"['GO:0005737', 'GO:0043231']"
HPA,HPA:0091031,Cerebellum; processes in molecular layer[≥Low],0.008932395147668432,True,Cerebellum; processes in molecular layer[≥Low],197,13,4,11007,0.3076923076923077,0.02030456852791878,query_1,['HPA:0090000']
GO:BP,GO:0006810,transport,0.01479885735313268,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4370,19,13,20972,0.6842105263157895,0.002974828375286041,query_1,['GO:0051234']
HPA,HPA:0090972,Cerebellum; granular cells - cytoplasm/membrane[≥Medium],0.01603709064900221,True,Cerebellum; granular cells - cytoplasm/membrane[≥Medium],229,13,4,11007,0.3076923076923077,0.017467248908296942,query_1,['HPA:0090971']
GO:BP,GO:0071211,protein targeting to vacuole involved in autophagy,0.01662728194390843,True,"""The process of directing proteins towards the vacuole using signals contained within the protein, occurring as part of autophagy, the process in which cells digest parts of their own cytoplasm."" [GOC:mah]",6,19,2,20972,0.10526315789473684,0.3333333333333333,query_1,"['GO:0006623', 'GO:0006914']"
GO:MF,GO:0044877,protein-containing complex binding,0.017389990700000784,True,"""Binding to a macromolecular complex."" [GOC:jl]",1252,18,7,20208,0.3888888888888889,0.005591054313099041,query_1,['GO:0005488']
GO:CC,GO:0097449,astrocyte projection,0.01790124320195848,True,"""A prolongation or process extending from the soma of an astrocyte and wrapping around neurons."" [NIF_Subcellular:sao1630537580]",20,18,2,22155,0.1111111111111111,0.1,query_1,['GO:0097386']
GO:CC,GO:0071944,cell periphery,0.02098733342792501,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,18,13,22155,0.7222222222222222,0.002075682580233115,query_1,['GO:0110165']
GO:BP,GO:0006886,intracellular protein transport,0.02440476344791943,True,"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]",653,19,6,20972,0.3157894736842105,0.009188361408882083,query_1,"['GO:0008104', 'GO:0015031', 'GO:0046907']"
GO:MF,GO:0140776,protein-containing complex destabilizing activity,0.02594831372769938,True,"""A molecular function that involves direct binding to one of the subunits of a protein-containing complex and promoting the dissociation of one or many subunits. This often happens by changing the conformation of the protein being bound, which decreases its affinity for the rest of the complex."" [PMID:23727094, PMID:29779865, PMID:34836783]",16,18,2,20208,0.1111111111111111,0.125,query_1,['GO:0003674']
HPA,HPA:0091043,Cerebellum; processes in white matter[High],0.02613630300822955,True,Cerebellum; processes in white matter[High],98,13,3,11007,0.23076923076923078,0.030612244897959183,query_1,['HPA:0091042']
GO:BP,GO:0051649,establishment of localization in cell,0.026959585661554722,True,"""Any process, occurring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos, GOC:dph, GOC:tb]",1938,19,9,20972,0.47368421052631576,0.0046439628482972135,query_1,"['GO:0051234', 'GO:0051641']"
GO:BP,GO:0031647,regulation of protein stability,0.02729662848201851,True,"""Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation."" [GOC:dph, GOC:mah, GOC:tb]",385,19,5,20972,0.2631578947368421,0.012987012987012988,query_1,['GO:0065008']
GO:CC,GO:0072562,blood microparticle,0.027465129068101387,True,"""A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids."" [GOC:BHF, GOC:mah, PMID:16373184]",138,18,3,22155,0.16666666666666666,0.021739130434782608,query_1,"['GO:0005615', 'GO:0110165']"
GO:MF,GO:0140104,molecular carrier activity,0.028028453406619483,True,"""Directly binding to a specific ion or molecule and delivering it either to an acceptor molecule or to a specific location."" [GOC:molecular_function_refactoring, GOC:pdt]",102,18,3,20208,0.16666666666666666,0.029411764705882353,query_1,['GO:0003674']
GO:MF,GO:0051082,unfolded protein binding,0.038992021229888936,True,"""Binding to an unfolded protein."" [GOC:ai]",114,18,3,20208,0.16666666666666666,0.02631578947368421,query_1,['GO:0005515']
HPA,HPA:0091023,Cerebellum; processes in granular layer[High],0.039823641070144564,True,Cerebellum; processes in granular layer[High],113,13,3,11007,0.23076923076923078,0.02654867256637168,query_1,['HPA:0091022']
HPA,HPA:0090971,Cerebellum; granular cells - cytoplasm/membrane[≥Low],0.04252516240685921,True,Cerebellum; granular cells - cytoplasm/membrane[≥Low],295,13,4,11007,0.3076923076923077,0.013559322033898305,query_1,['HPA:0090000']
GO:BP,GO:0051234,establishment of localization,0.043974899978968564,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4804,19,13,20972,0.6842105263157895,0.0027060782681099086,query_1,['GO:0051179']
